"listmakerid","listmakerfull","picturefile"
"0","",""
"1","Курский (нач.4-го отдела ГУГБ комиссар ГБ 3 ранга)","kurskij1.gif"
"2","Гендин (зам.нач.4-го отдела ГУГБ НКВД ст.майор ГБ)","gendin.gif"
"3","Агранов (зам.НК ВД СССР, нач.4-го отдела ГУГБ Комиссар ГБ)","agranow2.gif"
"4","Курский (нач.4-го отдела ГУГБ НКВД Комиссар ГБ 3 ранга)","kurskij.gif"
"5","Агранов (Зам.НК ВД СССР, нач.4 отд.ГУГБ Комиссар ГБ 1 ранга)","agranow1.gif"
"6","Литвин (нач.4 отд.ГУГБ НКВД ст.майор ГБ)","litvin.gif"
"7","Бельский (зам.Наркома ВД СССР комиссар ГБ 2 ранга)","belskij.gif"
"8","Цесарский (нач.8 отд.ГУГБ НКВД ст.майор ГБ)","cesarsk1.gif"
"9","Гендин (зам.нач. 4 отд.ГУГБ НКВД ст.майор ГБ)","gendin2.gif"
"10","Цесарский (нач. 8 отд.ГУГБ НКВД ст.майор ГБ)","cesarsk1.gif"
"11","Фриновский (зам.Народного Комиссара ВД - Комкор)","frinow.gif"
"12","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","cesarsk1.gif"
"13","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ)","shapiro1.gif"
"14","Фриновский (Зам Народного Комиссара ВД СССР) ???",""
"15","Шапиро (нач.1-го спецотд. НКВД СССР ст.майор ГБ)","shapiro2.gif"
"16","Цесарский (нач.8 отд. ГУГБ НКВД СССР ст.майор ГБ)","cesarsk2.gif"
"17","Бельский (зам.Наркома ВД СССР - Комиссар ГБ 2 ранга), Калошин (Воен.Прокурор- диввоенюрист), Яченин (врио.Прокурора УССР)","belskij2.gif"
"18","?",""
"19","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ) ????","cesarsk1.gif"
"20","Цесарский (нач. 8 отд. ГУГБ НКВД ст.майор ГБ) - нет подписи",""
"21","Шапиро (нач. 8 отд. ГУГБ НКВД ст.майор ГБ) - нет подписи",""
"22","Шапиро (нач.1 специального отдела НКВД СССР майор ГБ)","shapiro2.gif"
